,0
0,60
1,60
2,60
3,60
4,60
5,60
6,60
7,60
8,60
9,60
10,60
11,60
12,60
13,60
14,60
15,60
16,60
17,60
18,60
19,60
20,60
21,60
22,60
23,60
24,60
25,60
26,60
27,60
28,60
29,60
30,60
31,60
32,60
33,60
34,60
35,60
36,60
37,60
38,60
39,60
40,60
41,60
42,60
43,60
44,60
45,60
46,60
47,60
48,60
49,60
50,60
51,60
52,60
53,60
54,60
55,60
56,60
57,60
58,60
59,60
60,60
61,60
62,60
63,60
64,60
65,60
66,60
67,60
68,60
69,60
70,60
71,60
72,60
73,60
74,60
75,60
76,60
77,60
78,60
79,60
80,60
81,60
82,60
83,60
84,60
85,60
86,60
87,60
88,60
89,60
90,60
91,60
92,60
93,60
94,60
95,60
96,60
97,60
98,60
99,60
100,60
101,60
102,60
103,60
104,60
105,60
106,60
107,60
108,60
109,60
110,60
111,60
112,60
113,60
114,60
115,60
116,60
117,60
118,60
119,60
120,60
121,60
122,60
123,60
124,60
125,60
126,60
127,60
128,60
129,60
130,60
131,60
132,60
133,60
134,60
135,60
136,60
137,60
138,60
139,60
140,60
141,60
142,60
143,60
144,60
145,60
146,60
147,60
148,60
149,60
150,60
151,60
152,60
153,60
154,60
155,60
156,60
157,60
158,60
159,60
160,60
161,60
162,60
163,60
164,60
165,60
166,60
167,60
168,60
169,60
170,60
171,60
172,60
173,60
174,60
175,60
176,60
177,60
178,60
179,60
180,60
181,60
182,60
183,60
184,60
185,60
186,60
187,60
188,60
189,60
190,60
191,60
192,60
193,60
194,60
195,60
196,60
197,60
198,60
199,60
200,60
201,60
202,60
203,60
204,60
205,60
206,60
207,60
208,60
209,60
210,60
211,60
212,60
213,60
214,60
215,60
216,60
217,60
218,60
219,60
220,60
221,60
222,60
223,60
224,60
225,60
226,60
227,60
228,60
229,60
230,60
231,60
232,60
233,60
234,60
235,60
236,60
237,60
238,60
239,60
240,60
241,60
242,60
243,60
244,60
245,60
246,60
247,60
248,60
249,60
250,60
251,60
252,60
253,60
254,60
255,60
256,60
257,60
258,60
259,60
260,60
261,60
262,60
263,60
264,60
265,60
266,60
267,60
268,60
269,60
270,60
271,60
272,60
273,60
274,60
275,60
276,60
277,60
278,60
279,60
280,60
281,60
282,60
283,60
284,60
285,60
286,60
287,60
288,60
289,60
290,60
291,60
292,60
293,60
294,60
295,60
296,60
297,60
298,60
299,60
300,60
301,60
302,60
303,60
304,60
305,60
306,60
307,60
308,60
309,60
310,60
311,60
312,60
313,60
314,60
315,60
316,60
317,60
318,60
319,60
320,60
321,60
322,60
323,60
324,60
325,60
326,60
327,60
328,60
329,60
330,60
331,60
332,60
333,60
334,60
335,60
336,60
337,60
338,60
339,60
340,60
341,60
342,60
343,60
344,60
345,60
346,60
347,60
348,60
349,60
350,60
351,60
352,60
353,60
354,60
355,60
356,60
357,60
358,60
359,60
360,60
361,60
362,60
363,60
364,60
365,60
366,60
367,60
368,60
369,60
370,60
371,60
372,60
373,60
374,60
375,60
376,60
377,60
378,60
379,60
380,60
381,60
382,60
383,60
384,60
385,60
386,60
387,60
388,60
389,60
390,60
391,60
392,60
393,60
394,60
395,60
396,60
397,60
398,60
399,60
400,60
401,60
402,60
403,60
404,60
405,60
406,60
407,60
408,60
409,60
410,15
411,15
412,30
413,60
414,960
415,960
416,960
417,470
418,375
419,470
420,398
421,470
422,389
423,470
424,365
425,470
426,390
427,470
428,377
429,470
430,389
431,470
432,381
433,470
434,387
435,470
436,373
437,470
438,358
439,470
440,380
441,470
442,379
443,470
444,369
445,470
446,383
447,470
448,382
449,470
450,387
451,470
452,393
453,473
454,400
455,470
456,381
457,470
458,391
459,470
460,378
461,470
462,403
463,470
464,397
465,470
466,383
467,470
468,384
469,470
470,406
471,470
472,381
473,470
474,396
475,470
476,392
477,470
478,391
479,470
480,384
481,470
482,392
483,470
484,393
485,470
486,413
487,470
488,404
489,470
490,391
491,470
492,386
493,470
494,399
495,457
496,397
497,470
498,410
499,470
500,407
501,470
502,430
503,470
504,408
505,470
506,417
507,470
508,410
509,470
510,418
511,470
512,408
513,470
514,440
515,470
516,412
517,470
518,414
519,470
520,426
521,470
522,399
523,470
524,419
525,470
526,401
527,470
528,401
529,470
530,402
531,470
532,408
533,470
534,390
535,473
536,397
537,470
538,401
539,470
540,379
541,473
542,397
543,470
544,396
545,950
546,899
547,950
548,844
549,960
550,960
551,120
552,120
553,120
554,120
555,120
556,120
557,60
558,60
559,240
560,120
561,120
562,120
563,120
564,120
565,120
566,240
567,120
568,240
569,120
570,60
571,60
572,240
573,120
574,240
575,240
576,240
577,120
578,120
579,240
580,360
581,60
582,60
583,240
584,60
585,120
586,60
587,120
588,480
589,120
590,120
591,120
592,240
593,120
594,120
595,240
596,240
597,120
598,60
599,60
600,240
601,60
602,60
603,120
604,60
605,60
606,360
607,60
608,60
609,120
610,60
611,60
612,60
613,60
614,60
615,0
616,60
617,120
618,60
619,60
620,60
621,60
622,60
623,60
624,60
625,60
626,60
627,60
628,60
629,60
630,120
631,60
632,60
633,120
634,60
635,60
636,120
637,60
638,60
639,120
640,60
641,120
642,60
643,60
644,60
645,120
646,60
647,60
648,120
649,60
650,120
651,60
652,60
653,120
654,60
655,60
656,60
657,120
658,60
659,60
660,120
661,60
662,60
663,120
664,60
665,60
666,120
667,60
668,60
669,120
670,60
671,60
672,120
673,60
674,60
675,60
676,60
677,60
678,60
679,120
680,60
681,180
682,120
683,60
684,180
685,120
686,60
687,180
688,120
689,60
690,120
691,180
692,60
693,180
694,60
695,120
696,120
697,180
698,120
699,60
700,60
701,120
702,60
703,180
704,60
705,180
706,60
707,120
708,120
709,240
710,60
711,120
712,60
713,120
714,180
715,60
716,180
717,60
718,120
719,120
720,180
721,120
722,60
723,60
724,180
725,120
726,60
727,60
728,120
729,180
730,0
731,120
732,120
733,60
734,120
735,120
736,60
737,60
738,120
739,120
740,60
741,60
742,240
743,120
744,60
745,60
746,120
747,60
748,60
749,120
750,240
751,60
752,60
753,60
754,180
755,60
756,120
757,180
758,60
759,180
760,120
761,0
762,180
763,120
764,0
765,180
766,120
767,0
768,180
769,120
770,0
771,180
772,120
773,60
774,120
775,120
776,120
777,120
778,120
779,0
780,180
781,120
782,60
783,300
784,120
785,60
786,60
787,60
788,60
789,60
790,120
791,120
792,60
793,180
794,60
795,60
796,60
797,180
798,120
799,60
800,120
801,120
802,120
803,120
